title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,producers,rating,runtime_mins,theaters,season,theater_run,Year,summer,fall,winter,spring,holiday,,PG-13,R,PG,G,GP,M/PG
Bright Star,9/16/2009,8500000,Jane Campion,Apparition,4444637,5222400,Historical,1,,PG,119,380,fall,85,2015,0,1,0,0,0,0,0,0,1,0,0,0
Bright Young Things,8/20/2004,,,ThinkFilm,933637,1342600,Historical,0,,R,106,92,summer,90,2003,1,0,0,0,0,0,0,1,0,0,0,0
Brighton Rock,8/26/2011,12000000,Rowan Joffe,IFC,229653,258300,Historical,0,,R,111,24,summer,69,1942,1,0,0,0,0,0,0,1,0,0,0,0
Brighton Rock,6/19/2009,,,Rialto,49466,61500,Crime_Thriller,0,,,92,1,summer,86,2012,1,0,0,0,0,1,0,0,0,0,0,0
Brigsby Bear,7/28/2017,,,Sony Classics,532669,532700,Comedy,0,,PG-13,100,408,summer,83,2013,1,0,0,0,0,0,1,0,0,0,0,0
A Brilliant Young Mind,9/11/2015,,,Samuel Goldwyn,171793,181600,Comedy,0,,PG-13,111,18,fall,51,1992,0,1,0,0,0,0,1,0,0,0,0,0
Brimstone and Glory,10/27/2017,,,Oscilloscope Pictures,28023,28000,Documentary,0,,,67,8,fall,0,2005,0,1,0,0,0,1,0,0,0,0,0,0
Bring It On,8/25/2000,11000000,Peyton Reed,Universal,68379000,113281400,Sports,0,"Marc Abraham, Jessica Bendinger",PG-13,98,2466,summer,132,1944,1,0,0,0,0,0,1,0,0,0,0,0
Bring On the Night,11/8/1985,,,Samuel Goldwyn,1890571,4755700,None,0,,PG-13,97,409,holiday,0,2010,0,0,0,0,1,0,1,0,0,0,0,0
Bringing Down the House,3/7/2003,33000000,Adam Shankman,Buena Vista,132716677,196543900,Comedy,0,David Hoberman,PG-13,105,2910,spring,174,2017,0,0,0,1,0,0,1,0,0,0,0,0
Bringing Up Baby,2/18/1938,,Howard Hawks,RKO,,,Romance,0,,,102,,winter,0,2013,0,0,1,0,0,1,0,0,0,0,0,0
Bringing Up Bobby,9/28/2012,,Famke Janssen,"Monterey Media, Inc.",4975,5500,Family,0,Famke Janssen,PG-13,95,4,fall,0,2007,0,1,0,0,0,0,1,0,0,0,0,0
The Brink's Job,12/8/1978,,William Friedkin,Universal,7909950,30186300,Crime_Thriller,1,,PG,104,,holiday,0,1995,0,0,0,0,1,0,0,0,1,0,0,0
Britannia Hospital,3/4/1983,,,United Artists,375713,1065100,None,0,,R,116,,spring,0,2010,0,0,0,1,0,0,0,1,0,0,0,0
The British Animation Invasion,3/1/1991,,,EXP Ent.,729102,1546500,Animation,0,,,110,,spring,146,2010,0,0,0,1,0,1,0,0,0,0,0,0
Broadcast News,12/18/1987,,James L. Brooks,Fox,51249404,112499000,Comedy,7,,R,133,848,holiday,0,2006,0,0,0,0,1,0,0,1,0,0,0,0
Broadway Danny Rose,1/27/1984,,Woody Allen,Orion Pictures,10600497,28173300,None,2,,PG,84,613,winter,0,1967,0,0,1,0,0,0,0,0,1,0,0,0
Broadway Idiot,10/11/2013,,,FilmBuff,27595,29500,Documentary,0,,,80,6,fall,30,1995,0,1,0,0,0,1,0,0,0,0,0,0
