title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG
Close Encounters of the Third Kind,11/16/1977,20000000,['Steven Spielberg'],Columbia,135189114,444192900,Sci-Fi,0,0,,PG,137,650,PG,Fantasy_Scifi,,1977,0,0,1,0,0,0,0,1,0,0,0
Close Encounters of the Third Kind,9/1/2017,,['Steven Spielberg'],Sony / Columbia,135189114,3100500,Sci-Fi,0,0,,PG,137,901,PG,Fantasy_Scifi,,2017,0,1,0,0,0,0,0,1,0,0,0
Close Encounters of the Third Kind,11/14/1980,,,Columbia,135189114,52096700,Sci-Fi Adventure,0,0,,PG,137,,PG,Fantasy_Scifi,,1980,0,0,1,0,0,0,0,1,0,0,0
Close My Eyes,11/8/1991,,,Castle Hill,135893,292400,Unknown,0,0,,R,107,1,R,None,,1991,0,0,1,0,0,0,1,0,0,0,0
Close to Eden,10/30/1992,,,Miramax,377832,813000,Foreign,1,0,,PG,120,,PG,Foreign,,1992,0,1,0,0,0,0,0,1,0,0,0
Close Your Eyes,4/23/2004,10000000,,First Look,41392,59500,Unknown,0,0,,R,108,17,R,None,,2004,0,0,0,0,1,0,1,0,0,0,0
Closed Circuit,8/28/2013,,['John Crowley'],Focus Features,5750401,6127800,Thriller,0,0,"['Tim Bevan', 'Eric Fellner']",R,96,870,R,Crime_Thriller,,2013,1,0,0,0,0,0,1,0,0,0,0
Closer,12/3/2004,27000000,['Mike Nichols'],Sony / Columbia,33987757,48481500,Romance,2,0,"['Mike Nichols', 'Scott Rudin']",R,98,1098,R,Romance,,2004,0,0,1,0,0,0,1,0,0,0,0
The Closer You Get,2/25/2000,,,Fox Searchlight,164927,273200,Unknown,0,0,,PG-13,90,30,PG-13,None,,2000,0,0,0,1,0,1,0,0,0,0,0
The Closet,6/6/2001,,,Miramax,6678894,10537600,Foreign,0,0,,R,84,145,R,Foreign,,2001,1,0,0,0,0,0,1,0,0,0,0
Closet Land,3/6/1991,,,Universal,259012,549400,Unknown,0,0,"['Brian Grazer', 'Ron Howard']",R,94,153,R,None,,1991,0,0,0,0,1,0,1,0,0,0,0
Closing Escrow,8/24/2007,,,Magnolia,8719,11300,Comedy,0,0,,PG,93,5,PG,Comedy,6,2007,1,0,0,0,0,0,0,1,0,0,0
Cloud Atlas,10/26/2012,,"['Tom Tykwer', 'Lilly & Lana Wachowski']",Warner Bros.,27108272,30077100,Sci-Fi,0,0,"['Tom Tykwer', 'Lilly & Lana Wachowski']",R,164,2023,R,Fantasy_Scifi,90,2012,0,1,0,0,0,0,1,0,0,0,0
Clouds of Sils Maria,4/10/2015,,['Olivier Assayas'],IFC,1851517,1929600,Drama,0,0,,R,120,187,R,Drama,97,2015,0,0,0,0,1,0,1,0,0,0,0
Cloudy with a Chance of Meatballs,9/18/2009,100000000,['Phil Lord'],Sony / Columbia,124870275,147317700,Animation,0,0,,PG,81,3119,PG,Animation,132,2009,0,1,0,0,0,0,0,1,0,0,0
Cloudy with a Chance of Meatballs 2,9/27/2013,78000000,,Sony / Columbia,119793567,128308500,Animation,0,0,,PG,95,4001,PG,Animation,170,2013,0,1,0,0,0,0,0,1,0,0,0
Cloverfield,1/18/2008,25000000,['Matt Reeves'],Paramount,80048433,99558800,Action Horror,0,0,"['J.J. Abrams', 'Bryan Burk']",PG-13,84,3411,PG-13,Act_Adven,83,2008,0,0,0,1,0,1,0,0,0,0,0
Clown,6/17/2016,,['Jon Watts'],Weinstein / Dimension,55007,56300,Horror Thriller,0,0,['Eli Roth'],R,99,100,R,Horror,13,2016,1,0,0,0,0,0,1,0,0,0,0
Club Dread,2/27/2004,,['Jay Chandrasekhar'],Fox Searchlight,5001708,7192500,Horror Comedy,0,0,,R,103,1807,R,Horror,90,2004,0,0,0,1,0,0,1,0,0,0,0
Club Life,5/29/2015,,,The Orchard,4444,4800,Drama,0,0,,R,83,7,R,Drama,20,2015,1,0,0,0,0,0,1,0,0,0,0
Club Paradise,7/11/1986,,['Harold Ramis'],Warner Bros.,12308521,29626700,Comedy,0,0,['Michael Shamberg'],PG-13,96,1186,PG-13,Comedy,,1986,1,0,0,0,0,1,0,0,0,0,0
Clubland,4/16/1999,,['Mary Lambert'],Legacy,18529,32600,Music Drama,0,0,,R,105,60,R,Musical,,1999,0,0,0,0,1,0,1,0,0,0,0
Clue,12/13/1985,,,Paramount,14643997,35843300,Comedy Thriller,0,0,"['John Landis', 'Jon Peters']",PG,96,1022,PG,Comedy,,1985,0,0,1,0,0,0,0,1,0,0,0
Clueless,7/21/1995,,['Amy Heckerling'],Paramount,56631572,116257500,Comedy,0,0,['Scott Rudin'],PG-13,97,1922,PG-13,Comedy,,1995,1,0,0,0,0,1,0,0,0,0,0
Coach Carter,1/14/2005,30000000,['Thomas Carter'],Paramount,67264877,93709100,Sports Drama,0,0,"['Thomas Carter', 'Brian Robbins', 'Michael Tollin']",PG-13,134,2574,PG-13,Sports,111,2005,0,0,0,1,0,1,0,0,0,0,0
Coal Miner's Daughter,3/7/1980,,['Michael Apted'],Universal,67182787,223026900,Music Drama,7,1,,PG,125,,PG,Musical,,1980,0,0,0,0,1,0,0,1,0,0,0
Coast to Coast,10/3/1980,,,Paramount,4495445,14923500,Unknown,0,0,['Steve Tisch'],PG,94,,PG,None,,1980,0,1,0,0,0,0,0,1,0,0,0
Coastlines,5/31/2006,,['Victor Nunez'],IFC,7883,10800,Crime Drama,0,0,['John Sloss'],R,119,2,R,Crime_Thriller,36,2006,1,0,0,0,0,0,1,0,0,0,0
Cobb,12/2/1994,,,Warner Bros.,1007583,2152600,Sports Drama,0,0,['Arnon Milchan'],R,129,4,R,Sports,,1994,0,0,1,0,0,0,1,0,0,0,0
Cobra,5/23/1986,,,Warner Bros.,49042224,118045000,Action,0,0,,R,87,2131,R,Act_Adven,,1986,1,0,0,0,0,0,1,0,0,0,0
Cocaine Cowboys,10/27/2006,,,Magnolia,150056,204600,Documentary,0,0,,R,118,14,R,Documentary,62,2006,0,1,0,0,0,0,1,0,0,0,0
Cockfight,2/13/2004,,,Echelon Ent.,3600,5200,Unknown,0,0,,R,,10,R,None,,2004,0,0,0,1,0,0,1,0,0,0,0
Cocktail,7/29/1988,,['Roger Donaldson'],Buena Vista,78222753,169958500,Romance,0,0,['Ted Field'],R,104,1462,R,Romance,,1988,1,0,0,0,0,0,1,0,0,0,0
Coco,11/22/2017,,['Lee Unkrich'],Buena Vista,111603887,111603900,Animation,0,0,['Darla K. Anderson'],PG,109,3987,PG,Animation,,2017,0,0,1,0,0,0,0,1,0,0,0
Coco Before Chanel,9/25/2009,23000000,,Sony Classics,6113834,7167500,Foreign,1,0,,PG-13,110,307,PG-13,Foreign,139,2009,0,1,0,0,0,1,0,0,0,0,0
Coco Chanel & Igor Stravinsky,6/11/2010,,,Sony Classics,1621226,1821100,Foreign,0,0,,R,115,74,R,Foreign,132,2010,1,0,0,0,0,0,1,0,0,0,0
Cocoon,6/21/1985,,['Ron Howard'],Fox,76113124,191462000,Sci-Fi Adventure,2,2,,PG-13,117,1163,PG-13,Fantasy_Scifi,,1985,1,0,0,0,0,1,0,0,0,0,0
Cocoon: The Return,11/23/1988,,,Fox,18924919,41437000,Sci-Fi Adventure,0,0,,PG,116,997,PG,Fantasy_Scifi,,1988,0,0,1,0,0,0,0,1,0,0,0
Code 46,8/6/2004,,['Michael Winterbottom'],United Artists,285585,410700,Sci-Fi,0,0,,R,92,21,R,Fantasy_Scifi,,2004,1,0,0,0,0,0,1,0,0,0,0
Code Name: Emerald,9/27/1985,,,MGM,561548,1412600,War,0,0,,PG,95,195,PG,War,,1985,0,1,0,0,0,0,0,1,0,0,0
Code Name: The Cleaner,1/5/2007,20000000,,New Line,8135024,10559000,Action Comedy,0,0,"['David Brewington', 'Cedric the Entertainer', 'Jay Stern']",PG-13,84,1736,PG-13,Act_Adven,27,2007,0,0,0,1,0,1,0,0,0,0,0
Code Name: Wild Geese,8/29/1986,,,New World,600000,1444200,Unknown,0,0,,R,101,,R,None,,1986,1,0,0,0,0,0,1,0,0,0,0
Code of Silence,5/3/1985,,['Andrew Davis'],Orion Pictures,20345361,51178600,Action,0,0,,R,101,1810,R,Act_Adven,,1985,1,0,0,0,0,0,1,0,0,0,0
Coffee and Cigarettes,5/14/2004,,['Jim Jarmusch'],United Artists,2198924,3162100,Comedy,0,0,,R,95,47,R,Comedy,117,2004,1,0,0,0,0,0,1,0,0,0,0
Cohen and Tate,1/27/1989,,,Hemdale,64227,144500,Unknown,0,0,,R,85,75,R,None,20,1989,0,0,0,1,0,0,1,0,0,0,0
The Cokeville Miracle,6/5/2015,,,Excel,1348456,1459100,Drama,0,0,,PG-13,94,51,PG-13,Drama,128,2015,1,0,0,0,0,1,0,0,0,0,0
Cold Around the Heart,11/7/1997,,['John Ridley'],Fox,5171,10100,Unknown,0,0,['Dan Halsted'],R,96,1,R,None,,1997,0,0,1,0,0,0,1,0,0,0,0
Cold Comes the Night,1/10/2014,,,Samuel Goldwyn,16971,19000,Thriller,0,0,,R,90,21,R,Crime_Thriller,6,2014,0,0,0,1,0,0,1,0,0,0,0
Cold Comfort Farm,5/10/1996,,,Gramercy,5682429,11480600,Period Comedy,0,0,,PG,105,6,PG,Historical,,1996,1,0,0,0,0,0,0,1,0,0,0
Cold Creek Manor,9/19/2003,,,Buena Vista,21386011,31671200,Thriller,0,0,,R,118,2035,R,Crime_Thriller,76,2003,0,1,0,0,0,0,1,0,0,0,0
Cold Heaven,5/29/1992,,,Hemdale,99219,213500,Unknown,0,0,,R,105,,R,None,,1992,1,0,0,0,0,0,1,0,0,0,0
Cold in July,5/23/2014,,,IFC,427418,458900,Drama / Thriller,0,0,,R,100,73,R,Drama,69,2014,1,0,0,0,0,0,1,0,0,0,0
The Cold Light of Day,9/7/2012,,,Lionsgate/Summit,3763583,4318000,Action Thriller,0,0,"['Mark Canton', 'Marc D. Evans', 'Trevor Macy']",PG-13,93,1511,PG-13,Act_Adven,27,2012,0,1,0,0,0,1,0,0,0,0,0
Cold Mountain,12/25/2003,79000000,['Anthony Minghella'],Miramax,95636509,137719000,War Romance,7,1,"['Albert Berger', 'Sydney Pollack', 'Ron Yerxa']",R,155,2802,R,War,189,2003,0,0,1,0,0,0,1,0,0,0,0
Cold Souls,8/7/2009,,,Samuel Goldwyn,905209,1080500,Comedy / Drama,0,0,,PG-13,101,52,PG-13,Comedy,97,2009,1,0,0,0,0,1,0,0,0,0,0
Cold Steel,12/11/1987,,,Cinetel,285885,652900,Unknown,0,0,,R,91,135,R,None,55,1987,0,0,1,0,0,0,1,0,0,0,0
Coldblooded,9/15/1995,,,IRS Media,16198,33300,Unknown,0,0,,R,92,5,R,None,13,1995,0,1,0,0,0,0,1,0,0,0,0
Collateral,8/6/2004,65000000,['Michael Mann'],DreamWorks,101005703,145246500,Crime,2,0,"['Frank Darabont', 'Michael Mann']",R,125,3205,R,Crime_Thriller,111,2004,1,0,0,0,0,0,1,0,0,0,0
Collateral Beauty,12/16/2016,36000000,['David Frankel'],Warner Bros. (New Line),31016021,31456200,Drama,0,0,,PG-13,94,3028,PG-13,Drama,55,2016,0,0,1,0,0,1,0,0,0,0,0
Collateral Damage,2/8/2002,85000000,['Andrew Davis'],Warner Bros.,40077257,61598900,Action,0,0,,R,108,2824,R,Act_Adven,83,2002,0,0,0,1,0,0,1,0,0,0,0
The Collection,11/30/2012,,['Marcus Dunstan'],LD Entertainment,6842058,7590000,Horror Thriller,0,0,,R,81,1403,R,Horror,30,2012,0,0,1,0,0,0,1,0,0,0,0
The Collector,7/31/2009,,['Marcus Dunstan'],Freestyle Releasing,7712114,9231800,Horror,0,0,,R,85,1325,R,Horror,55,2009,1,0,0,0,0,0,1,0,0,0,0
College,8/29/2008,7000000,,MGM,4694636,5838900,Comedy,0,0,,R,94,2124,R,Comedy,76,2008,1,0,0,0,0,0,1,0,0,0,0
College Road Trip,3/7/2008,,['Roger Kumble'],Buena Vista,45610425,56727100,Comedy,0,0,,G,83,2706,G,Comedy,146,2008,0,0,0,0,1,0,0,0,1,0,0
Collide,2/24/2017,,['Eran Creevy'],Open Road Films,2280004,2303200,Action,0,0,,PG-13,99,2045,PG-13,Act_Adven,13,2017,0,0,0,1,0,1,0,0,0,0,0
Colma: The Musical,6/22/2007,,,Roadside Attractions,41131,53400,Musical,0,0,,R,100,2,R,Musical,132,2007,1,0,0,0,0,0,1,0,0,0,0
Colombiana,8/26/2011,40000000,['Olivier Megaton'],TriStar,36665854,41237500,Action,0,0,['Luc Besson'],PG-13,107,2614,PG-13,Act_Adven,69,2011,1,0,0,0,0,1,0,0,0,0,0
Colonel Redl,10/4/1985,,,Orion Classics,2357,5900,Foreign,0,0,,R,144,1,R,Foreign,,1985,0,1,0,0,0,0,1,0,0,0,0
Colonia,4/15/2016,,,Screen Media,15709,16100,Thriller,0,0,,R,110,27,R,Crime_Thriller,,2016,0,0,0,0,1,0,1,0,0,0,0
The Color of Money,10/17/1986,,['Martin Scorsese'],Buena Vista,52293982,125872000,Drama,4,1,,R,119,1205,R,Drama,,1986,0,1,0,0,0,0,1,0,0,0,0
Color of Night,8/19/1994,40000000,['Richard Rush'],Buena Vista,19726050,42142000,Romantic Thriller,0,0,,R,121,1740,R,Romance,,1994,1,0,0,0,0,0,1,0,0,0,0
The Color of Paradise,3/31/2000,,,Sony Classics,1817216,3010700,Foreign,0,0,,PG,85,33,PG,Foreign,,2000,0,0,0,0,1,0,0,1,0,0,0
Color of the Cross,10/27/2006,,,Rocky Mountain Pictures,85802,117000,Period Drama,0,0,,PG-13,90,29,PG-13,Historical,27,2006,0,1,0,0,0,1,0,0,0,0,0
The Color Purple,12/20/1985,,['Steven Spielberg'],Warner Bros.,98467863,227110100,Period Drama,11,0,"['Kathleen Kennedy', 'Frank Marshall', 'Jon Peters', 'Steven Spielberg']",PG-13,154,1109,PG-13,Historical,,1985,0,0,1,0,0,1,0,0,0,0,0
The Color Purple,1/16/1987,,,Warner Bros.,98467863,9802500,Unknown,0,0,,PG-13,154,601,PG-13,None,,1987,0,0,0,1,0,1,0,0,0,0,0
Colors,4/15/1988,,,Orion Pictures,46616067,101285000,Action / Crime,0,0,,R,127,1388,R,Act_Adven,,1988,0,0,0,0,1,0,1,0,0,0,0
Colossal,4/7/2017,,,Neon,3029287,3022500,Sci-Fi Action,0,0,,R,110,327,R,Fantasy_Scifi,97,2017,0,0,0,0,1,0,1,0,0,0,0
Coma,1/6/1978,,['Michael Crichton'],MGM,,,Thriller,0,0,['Martin Erlichman'],PG,113,,PG,Crime_Thriller,,1978,0,0,0,1,0,0,0,1,0,0,0
Come Away Home,5/6/2005,1200000,,Innovation Film Group,72810,101400,Family,0,0,,PG,102,16,PG,Family,125,2005,1,0,0,0,0,0,0,1,0,0,0
Come Back to Me,7/25/2014,,,Freestyle Releasing,7744,8300,Horror,0,0,,R,90,10,R,Horror,6,2014,1,0,0,0,0,0,1,0,0,0,0
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",11/12/1982,,['Robert Altman'],Cinecom,840958,2554300,Drama,0,0,,PG,109,,PG,Drama,,1982,0,0,1,0,0,0,0,1,0,0,0
Come Early Morning,11/10/2006,,['Joey Lauren Adams'],IDP,119452,162900,Romance,0,0,['Julie Yorn'],R,97,22,R,Romance,27,2006,0,0,1,0,0,0,1,0,0,0,0
Come Out and Play,3/22/2013,,,Cinedigm Entertainment,2638,3000,Horror,0,0,,R,87,10,R,Horror,6,2013,0,0,0,0,1,0,1,0,0,0,0
Come See the Paradise,12/25/1990,,,Fox,947306,2008400,War Drama,0,0,,R,138,97,R,War,,1990,0,0,1,0,0,0,1,0,0,0,0
Come Undone,6/29/2001,,,Picture This!,326484,515100,Foreign,0,0,,R,98,,R,Foreign,181,2001,1,0,0,0,0,0,1,0,0,0,0
Come What May,9/9/2016,,,Cohen Media Group,37766,39600,Drama,0,0,,R,114,6,R,Drama,20,2016,0,1,0,0,0,0,1,0,0,0,0
The Comebacks,10/19/2007,,['Tom Brady'],Fox Atomic,13349927,17327700,Sports Comedy,0,0,['Andrew Panay'],PG-13,84,2812,PG-13,Sports,69,2007,0,1,0,0,0,1,0,0,0,0,0
The Comedian,12/9/2016,,['Taylor Hackford'],Sony Classics,1659002,1676000,Comedy,0,0,,R,119,848,R,Comedy,104,2016,0,0,1,0,0,0,1,0,0,0,0
Comedian,10/11/2002,,,Miramax,2751988,4229800,Documentary,0,0,,R,100,244,R,Documentary,76,2002,0,1,0,0,0,0,1,0,0,0,0
The Comedians of Comedy,11/11/2005,,,Vitagraph,549,800,Comedy,0,0,,R,103,2,R,Comedy,6,2005,0,0,1,0,0,0,1,0,0,0,0
Comes a Horseman,10/25/1978,,['Alan J. Pakula'],MGM,9585769,36581600,Western,1,0,['Irwin Winkler'],PG,118,,PG,Western,,1978,0,1,0,0,0,0,0,1,0,0,0
Comet,12/5/2014,,,IFC,8623,9300,Comedy / Drama,0,0,,R,107,8,R,Comedy,20,2014,0,0,1,0,0,0,1,0,0,0,0
Comfort and Joy,10/10/1984,,,Universal,1057368,2810200,Unknown,0,0,,PG,90,,PG,None,,1984,0,1,0,0,0,0,0,1,0,0,0
The Comfort of Strangers,3/15/1991,,['Paul Schrader'],Skouras,1244381,2639500,Drama,0,0,,R,107,17,R,Drama,174,1991,0,0,0,0,1,0,1,0,0,0,0
Comic-Con Episode IV: A Fan's Hope,4/6/2012,1500000,['Morgan Spurlock'],Wrekin Hill,34665,38100,Documentary,0,0,"['Stan Lee', 'Morgan Spurlock', 'Joss Whedon']",PG-13,88,6,PG-13,Documentary,23,2012,0,0,0,0,1,1,0,0,0,0,0
Comin' at Ya!,6/5/1981,,,Filmways,12000000,38546800,Western,0,0,,R,91,,R,Western,,1981,1,0,0,0,0,0,1,0,0,0,0
Coming Home,2/15/1978,,,United Artists,32653905,124615100,War Drama,8,3,,R,128,,R,War,,1978,0,0,0,1,0,0,1,0,0,0,0
Coming Home,9/9/2015,,['Zhang Yimou'],Sony Classics,377607,392900,Foreign,0,0,,PG-13,109,55,PG-13,Foreign,99,2015,0,1,0,0,0,1,0,0,0,0,0
Coming Soon,5/12/2000,,,Unapix Ent.,5453,9000,Unknown,0,0,['Beau Flynn'],R,96,1,R,None,6,2000,1,0,0,0,0,0,1,0,0,0,0
Coming Through the Rye,10/14/2016,,,Eammon Films,18137,18400,Drama,0,0,,PG-13,95,5,PG-13,Drama,20,2016,0,1,0,0,0,1,0,0,0,0,0
Coming to America,6/29/1988,,['John Landis'],Paramount,128152301,278442800,Romantic Comedy,2,0,,R,116,2064,R,Romance,155,1988,1,0,0,0,0,0,1,0,0,0,0
Coming Up Roses,9/11/1987,,,Skouras,4299,9800,Comedy,0,0,,PG,93,,PG,Comedy,6,1987,0,1,0,0,0,0,0,1,0,0,0
Coming Up Roses,2/14/2014,,,Indican,20567,22200,Drama,0,0,,R,93,4,R,Drama,1049,2014,0,0,0,1,0,0,1,0,0,0,0
Commandments,5/2/1997,6000000,,Gramercy,548561,1067300,Unknown,0,0,"['Joe Medjuck', 'Ivan Reitman']",R,88,269,R,None,,1997,1,0,0,0,0,0,1,0,0,0,0
Commando,10/4/1985,,[],Fox,35100000,88293800,Action,0,0,['Joel Silver'],R,90,1504,R,Act_Adven,,1985,0,1,0,0,0,0,1,0,0,0,0
The Commitments,8/16/1991,,,Fox,14919570,31646500,Music Drama,1,0,['Tom Rosenberg'],R,118,588,R,Musical,,1991,1,0,0,0,0,0,1,0,0,0,0
Committed,4/28/2000,3000000,,Miramax,40361,66900,Unknown,0,0,,R,98,13,R,None,,2000,0,0,0,0,1,0,1,0,0,0,0
Communion,11/10/1989,,,New Line,1919653,4318000,Unknown,0,0,['Gary Barber'],R,101,240,R,None,,1989,0,0,1,0,0,0,1,0,0,0,0
The Commuter,1/12/2018,,['Jaume Collet-Serra'],Lionsgate,,,Action,0,0,,PG-13,105,,PG-13,Act_Adven,,2018,0,0,0,1,0,1,0,0,0,0,0
Compadres,4/22/2016,,,Pantelion,3127773,3199400,Action,0,0,,R,101,368,R,Act_Adven,34,2016,0,0,0,0,1,0,1,0,0,0,0
The Company,12/25/2003,15000000,['Robert Altman'],Sony Classics,2283914,3285800,Drama,0,0,"['John Sloss', 'John Wells']",PG-13,112,55,PG-13,Drama,140,2003,0,0,1,0,0,1,0,0,0,0,0
Company Business,9/6/1991,,,MGM,1501785,3185500,Action Comedy,0,0,,PG-13,98,232,PG-13,Act_Adven,,1991,0,1,0,0,0,1,0,0,0,0,0
Company Man,3/9/2001,16000000,['Douglas McGrath'],Paramount Classics,146193,230700,Unknown,0,0,['Susan Cartsonis'],PG-13,81,104,PG-13,None,62,2001,0,0,0,0,1,1,0,0,0,0,0
The Company Men,1/21/2011,15000000,['John Wells'],Weinstein Company,4441272,5045900,Drama,0,0,['John Wells'],R,105,277,R,Drama,118,2011,0,0,0,1,0,0,1,0,0,0,0
The Company of Wolves,4/19/1985,2000000,['Neil Jordan'],Cannon Films,4389334,11041300,Unknown,0,0,,R,95,995,R,None,,1985,0,0,0,0,1,0,1,0,0,0,0
The Company You Keep,4/5/2013,,['Robert Redford'],Sony Classics,5133027,5469900,Thriller,0,0,['Robert Redford'],R,125,807,R,Crime_Thriller,118,2013,0,0,0,0,1,0,1,0,0,0,0
The Competition,12/3/1980,,,Columbia,14287755,47431100,Music Drama,2,0,,PG,126,,PG,Musical,,1980,0,0,1,0,0,0,0,1,0,0,0
Complete Unknown,8/26/2016,,,IFC,191761,201000,Drama / Thriller,0,0,,R,90,63,R,Drama,37,2016,1,0,0,0,0,0,1,0,0,0,0
Compliance,8/17/2012,,,Magnolia,319285,365600,Drama / Thriller,0,0,,R,90,21,R,Drama,76,2012,1,0,0,0,0,0,1,0,0,0,0
Compromising Positions,8/30/1985,,,Paramount,12531831,31523700,Unknown,0,0,,R,98,574,R,None,,1985,1,0,0,0,0,0,1,0,0,0,0
Con Air,6/6/1997,75000000,['Simon West'],Buena Vista,101117573,196727600,Action,2,0,['Jerry Bruckheimer'],R,115,2941,R,Act_Adven,132,1997,1,0,0,0,0,0,1,0,0,0,0
Conan O'Brien Can't Stop,6/24/2011,,,Abramorama,267965,299000,Documentary,0,0,['Gavin Polone'],R,89,24,R,Documentary,76,2011,1,0,0,0,0,0,1,0,0,0,0
Conan the Barbarian,5/14/1982,,,Universal,39565475,120176800,Action Fantasy,0,0,,R,129,1683,R,Act_Adven,,1982,1,0,0,0,0,0,1,0,0,0,0
Conan the Barbarian,8/19/2011,90000000,['Marcus Nispel'],Lionsgate,21295021,23593600,Action,0,0,"['Randall Emmett', 'George Furla']",R,112,3015,R,Act_Adven,48,2011,1,0,0,0,0,0,1,0,0,0,0
Conan the Destroyer,6/29/1984,,,Universal,31042035,82501600,Action Fantasy,0,0,,PG,103,1249,PG,Act_Adven,,1984,1,0,0,0,0,0,0,1,0,0,0
The Concert,7/30/2010,,,Weinstein Company,657986,759200,Foreign,0,0,,PG-13,119,21,PG-13,Foreign,111,2010,1,0,0,0,0,1,0,0,0,0,0
Concert for George,10/3/2003,,,Arenaplex,134600,199300,Unknown,0,0,,PG-13,105,105,PG-13,None,41,2003,0,1,0,0,0,1,0,0,0,0,0
The Concorde: Airport '79,8/3/1979,,['David Lowell Rich'],Universal,13015688,46306800,Action Drama,0,0,['Jennings Lang'],PG,123,,PG,Act_Adven,,1979,1,0,0,0,0,0,0,1,0,0,0
Concussion,10/4/2013,,,Radius-TWC,42606,45600,Drama,0,0,,R,96,25,R,Drama,20,2013,0,1,0,0,0,0,1,0,0,0,0
Concussion,12/25/2015,35000000,['Peter Landesman'],Sony / Columbia,34542474,35701500,Drama,0,0,['Ridley Scott'],PG-13,123,2841,PG-13,Drama,83,2015,0,0,1,0,0,1,0,0,0,0,0
The Condemned,4/27/2007,,,Lionsgate,7371706,9568200,Action,0,0,,R,100,2310,R,Act_Adven,27,2007,0,0,0,0,1,0,1,0,0,0,0
Condorman,8/7/1981,,,Buena Vista,,,Unknown,0,0,,PG,,,PG,None,,1981,1,0,0,0,0,0,0,1,0,0,0
Coneheads,7/23/1993,,['Steven Barron'],Paramount,21274717,45889700,Sci-Fi Comedy,0,0,['Lorne Michaels'],PG,86,1978,PG,Fantasy_Scifi,,1993,1,0,0,0,0,0,0,1,0,0,0
Confessions of a Dangerous Mind,12/31/2002,30000000,['George Clooney'],Miramax,16007718,23706300,Comedy Thriller,0,0,"['Andrew Lazar', 'Steven Soderbergh']",R,113,1776,R,Comedy,247,2002,0,0,1,0,0,0,1,0,0,0,0
Confessions of a Shopaholic,2/13/2009,,['P.J. Hogan'],Buena Vista,44277350,53002200,Romantic Comedy,0,0,['Jerry Bruckheimer'],PG,112,2534,PG,Romance,104,2009,0,0,0,1,0,0,0,1,0,0,0
Confessions of a Teenage Drama Queen,2/20/2004,,,Buena Vista,29331068,42178200,Family Comedy,0,0,,PG,86,2503,PG,Family,90,2004,0,0,0,1,0,0,0,1,0,0,0
Confetti,9/15/2006,,,Fox Searchlight,228498,311500,Comedy,0,0,,R,99,151,R,Comedy,34,2006,0,1,0,0,0,0,1,0,0,0,0
Confidence,4/25/2003,15000000,['James Foley'],Lions Gate,12251640,18143800,Crime Thriller,0,0,,R,98,1871,R,Crime_Thriller,62,2003,0,0,0,0,1,0,1,0,0,0,0
The Conformist,10/22/1970,,['Bernardo Bertolucci'],Paramount,,,Foreign,0,0,,R,115,,R,Foreign,,1970,0,1,0,0,0,0,1,0,0,0,0
The Conformist,8/29/2014,,,Kino Lorber,58657,64300,Foreign,0,0,,R,111,4,R,Foreign,111,2014,1,0,0,0,0,0,1,0,0,0,0
Congo,6/9/1995,,['Frank Marshall'],Paramount,81022101,166328100,Sci-Fi Adventure,0,0,"['Kathleen Kennedy', 'Frank Marshall', 'Sam Mercer']",PG-13,108,2676,PG-13,Fantasy_Scifi,,1995,1,0,0,0,0,1,0,0,0,0,0
The Congressman,4/29/2016,,,Shadow Dist.,71451,73100,Comedy / Drama,0,0,,R,98,13,R,Comedy,41,2016,0,0,0,0,1,0,1,0,0,0,0
The Conjuring,7/19/2013,20000000,['James Wan'],Warner Bros. (New Line),137400141,156459200,Horror,0,0,"['Rob Cowan', 'Tony DeRosa-Grund', 'Peter Safran']",R,112,3115,R,Horror,104,2013,1,0,0,0,0,0,1,0,0,0,0
The Conjuring 2,6/10/2016,40000000,['James Wan'],Warner Bros. (New Line),102470008,105109400,Horror,0,0,,R,134,3356,R,Horror,76,2016,1,0,0,0,0,0,1,0,0,0,0
The Connection,5/15/2015,,,Drafthouse,190980,204700,Foreign,0,0,,R,135,27,R,Foreign,,2015,1,0,0,0,0,0,1,0,0,0,0
Connie and Carla,4/16/2004,27000000,['Michael Lembeck'],Universal,8085771,11627400,Comedy,0,0,"['Gary Barber', 'Roger Birnbaum', 'Jonathan Glickman', 'Tom Hanks', 'Peter Safran', 'Nia Vardalos']",PG-13,97,1016,PG-13,Comedy,55,2004,0,0,0,0,1,1,0,0,0,0,0
The Conqueror,2/21/1956,,['Dick Powell'],RKO,,,Historical Epic,0,0,['Dick Powell'],G,111,,G,Historical,,1956,0,0,0,1,0,0,0,0,1,0,0
Conquest of the Planet of the Apes,6/14/1972,,,Fox,9043472,47504800,Sci-Fi Adventure,0,0,,PG,88,,PG,Fantasy_Scifi,,1972,1,0,0,0,0,0,0,1,0,0,0
Consenting Adults,10/16/1992,,['Alan J. Pakula'],Buena Vista,21591728,46461200,Thriller,0,0,['Pieter Jan Brugge'],R,99,1538,R,Crime_Thriller,,1992,0,1,0,0,0,0,1,0,0,0,0
