title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG
The 13th Alley,6/13/2008,,,Super Chief Films,250992,312200,Horror,0,0,,R,83,72,R,Horror,6,2008,1,0,0,0,0,0,1,0,0,0,0
The 13th Warrior,8/27/1999,160000000,['John McTiernan'],Buena Vista,32698899,57480500,Period Adventure,0,0,,R,102,2313,R,Historical,,1999,1,0,0,0,0,0,1,0,0,0,0
14 Blades,8/22/2014,,,Radius-TWC,,,Foreign / Action,0,0,,R,116,,R,Foreign,,2014,1,0,0,0,0,0,1,0,0,0,0
1408,6/22/2007,25000000,['Mikael Hafstrom'],MGM (Weinstein),71985628,93434800,Horror,0,0,['Lorenzo di Bonaventura'],PG-13,94,2733,PG-13,Horror,111,2007,1,0,0,0,0,1,0,0,0,0,0
1492: Conquest of Paradise,10/9/1992,47000000,['Ridley Scott'],Paramount,7191399,15474500,Historical Drama,0,0,['Ridley Scott'],PG-13,148,1008,PG-13,Historical,,1992,0,1,0,0,0,1,0,0,0,0,0
15 Minutes,3/9/2001,60000000,['John Herzfeld'],New Line,24403552,38502400,Thriller,0,0,['Nick Wechsler'],R,120,2337,R,Crime_Thriller,,2001,0,0,0,0,1,0,1,0,0,0,0
The 15:17 to Paris,2/9/2018,,['Clint Eastwood'],Warner Bros.,,,Drama,0,0,,R,,,R,Drama,,2018,0,0,0,1,0,0,1,0,0,0,0
16 Blocks,3/3/2006,,['Richard Donner'],Warner Bros.,36895141,50301300,Action Thriller,0,0,"['Randall Emmett', 'George Furla', 'Jim Van Wyck']",PG-13,105,2706,PG-13,Act_Adven,83,2006,0,0,0,0,1,1,0,0,0,0,0
16 Days of Glory,3/7/1986,,,Paramount,83857,201800,Documentary,0,0,,G,145,,G,Documentary,,1986,0,0,0,0,1,0,0,0,1,0,0
16 Years of Alcohol,3/15/2005,,,Tartan,8046,11200,Drama,0,0,,R,102,2,R,Drama,135,2005,0,0,0,0,1,0,1,0,0,0,0
17 Again,4/17/2009,,['Burr Steers'],Warner Bros. (New Line),64167069,76811300,Fantasy Comedy,0,0,['Jennifer Gibgot'],PG-13,102,3255,PG-13,Fantasy_Scifi,111,2009,0,0,0,0,1,1,0,0,0,0,0
18 Again,4/8/1988,,,New World,2567099,5577700,Fantasy Comedy,0,0,,PG,100,1152,PG,Fantasy_Scifi,,1988,0,0,0,0,1,0,0,1,0,0,0
180 South,5/21/2010,,,Magnolia,31745,35700,Documentary,0,0,,PG,85,4,PG,Documentary,20,2010,1,0,0,0,0,0,0,1,0,0,0
187,7/30/1997,,['Kevin Reynolds'],Warner Bros.,5727130,11142300,Drama,0,0,,R,119,1121,R,Drama,,1997,1,0,0,0,0,0,1,0,0,0,0
1898: Los ultimos de Filipinas,3/3/2017,,,Sony / Columbia,2848,2900,War Drama,0,0,,R,105,10,R,War,6,2017,0,0,0,0,1,0,1,0,0,0,0
1900,10/7/1977,9000000,['Bernardo Bertolucci'],Paramount,,,War Drama,0,0,['Alberto Grimaldi'],R,245,,R,War,,1977,0,1,0,0,0,0,1,0,0,0,0
1911,10/7/2011,,['Jackie Chan'],Variance Films,135739,152700,Foreign,0,0,,R,,33,R,Foreign,34,2011,0,1,0,0,0,0,1,0,0,0,0
1941,12/14/1979,35000000,['Steven Spielberg'],Universal,31755742,112979600,Period Comedy,3,0,,PG,118,,PG,Historical,,1979,0,0,1,0,0,0,0,1,0,0,0
1969,11/18/1988,,,Atlantic,5979011,12990900,Unknown,0,0,['Bill Badalato'],R,95,520,R,None,,1988,0,0,1,0,0,0,1,0,0,0,0
1984,12/14/1984,,['Michael Radford'],Samuel Goldwyn,8430492,21213200,Unknown,0,0,,R,113,295,R,None,,1984,0,0,1,0,0,0,1,0,0,0,0
2 Days in New York,8/10/2012,,['Julie Delpy'],Magnolia,633210,725300,Comedy,0,0,,R,91,42,R,Comedy,97,2012,1,0,0,0,0,0,1,0,0,0,0
2 Days in Paris,8/10/2007,,['Julie Delpy'],Samuel Goldwyn,4433994,5755200,Comedy / Drama,0,0,,R,94,148,R,Comedy,118,2007,1,0,0,0,0,0,1,0,0,0,0
2 Days in the Valley,9/27/1996,,['John Herzfeld'],MGM,11132210,22491100,Crime,0,0,,R,105,855,R,Crime_Thriller,,1996,0,1,0,0,0,0,1,0,0,0,0
2 Fast 2 Furious,6/6/2003,76000000,['John Singleton'],Universal,127154901,188307300,Action,0,0,"['Lee R. Mayes', 'Neal H. Moritz']",PG-13,101,3418,PG-13,Act_Adven,139,2003,1,0,0,0,0,1,0,0,0,0,0
2 Guns,8/2/2013,61000000,['Baltasar Kormakur'],Universal,75612460,86062600,Action Comedy,0,0,"['Randall Emmett', 'George Furla', 'Marc Platt', 'Steven Saxton']",R,109,3028,R,Act_Adven,83,2013,1,0,0,0,0,0,1,0,0,0,0
20 Dates,2/26/1999,,,Fox Searchlight,541636,952100,Unknown,0,0,,R,87,43,R,None,,1999,0,0,0,1,0,0,1,0,0,0,0
20 Feet from Stardom,6/14/2013,,,Radius-TWC,4946445,5605400,Documentary,1,1,,PG-13,90,147,PG-13,Documentary,370,2013,1,0,0,0,0,1,0,0,0,0,0
