title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG,director_prev_nom,director_prev_win,BAFTA,Golden Globe,Guild,rt_critic_score,rt_audience_score,encoded_director,encoded_genre,encoded_producer
The Hitman,10/25/1991,0.0,0,Cannon Films,4654288.0,9872400.0,Action,0,0.0,['Don Carmody'],R,94.0,551.0,R,Act_Adven,,1991.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,235
The Hitman's Bodyguard,8/18/2017,30000000.0,Patrick Hughes,Lionsgate/Summit,75468583.0,75468600.0,Action Comedy,0,0.0,,R,118.0,3377.0,R,Act_Adven,76.0,2017.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,727,0,4
Hitman: Agent 47,8/21/2015,35000000.0,0,Fox,22467450.0,24310000.0,Action / Adventure,0,0.0,,R,96.0,3273.0,R,Act_Adven,55.0,2015.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,4
The Hoax,4/6/2007,25000000.0,Lasse Hallstrom,Miramax,7164995.0,9299900.0,Drama,0,0.0,"['Mark Gordon', 'Bob Yari']",R,115.0,1069.0,R,Drama,55.0,2007.0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0.0,0.0,463,6,951
The Hobbit: An Unexpected Journey,12/14/2012,0.0,Peter Jackson,Warner Bros. (New Line),303003568.0,337855000.0,Fantasy,3,0.0,"['Peter Jackson', 'Fran Walsh']",PG-13,166.0,4100.0,PG-13,Fantasy_Scifi,132.0,2012.0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0.0,0.0,609,2,952
The Hobbit: The Battle of the Five Armies,12/17/2014,0.0,Peter Jackson,Warner Bros. (New Line),255119788.0,277534600.0,Fantasy,1,0.0,"['Peter Jackson', 'Fran Walsh']",PG-13,144.0,3875.0,PG-13,Fantasy_Scifi,106.0,2014.0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0.0,0.0,609,2,952
The Hobbit: The Desolation of Smaug,12/13/2013,0.0,Peter Jackson,Warner Bros. (New Line),258366855.0,281429800.0,Fantasy,3,0.0,"['Peter Jackson', 'Fran Walsh']",PG-13,161.0,3928.0,PG-13,Fantasy_Scifi,125.0,2013.0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0.0,0.0,609,2,952
Hocus Pocus,7/16/1993,0.0,Kenny Ortega,Buena Vista,39514713.0,85233400.0,Family Comedy,0,0.0,['Ralph Winter'],PG,96.0,1472.0,PG,Family,,1993.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,886,12,318
Hoffa,12/25/1992,0.0,Danny DeVito,Fox,24276506.0,52309200.0,Period Drama,2,0.0,,R,140.0,1103.0,R,Historical,,1992.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,52.0,60.0,619,14,4
The Holcroft Covenant,10/18/1985,0.0,0,Universal,393825.0,990700.0,Unknown,0,0.0,,R,112.0,73.0,R,None,,1985.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
Holding Trevor,7/4/2008,0.0,0,Regent Releasing,16814.0,20900.0,Romance,0,0.0,,R,88.0,2.0,R,Romance,55.0,2008.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,5,4
Holes,4/18/2003,20000000.0,Andrew Davis,Buena Vista,67406573.0,99824300.0,Family Adventure,0,0.0,,PG,117.0,2452.0,PG,Family,125.0,2003.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,10,12,4
The Holiday,12/8/2006,85000000.0,Nancy Meyers,Sony / Columbia,63224849.0,84895900.0,Romantic Comedy,0,0.0,['Nancy Meyers'],PG-13,136.0,2698.0,PG-13,Romance,51.0,2006.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,895,5,196
Holla II,4/19/2013,0.0,0,Rockstone Releasing,41537.0,44300.0,Horror Comedy,0,0.0,,R,90.0,6.0,R,Horror,6.0,2013.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,4
The Hollars,8/26/2016,0.0,John Krasinski,Sony Classics,1016985.0,1060300.0,Comedy / Drama,0,0.0,,PG-13,88.0,298.0,PG-13,Comedy,111.0,2016.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,896,1,4
Hollow Man,8/4/2000,95000000.0,Paul Verhoeven,Sony / Columbia,73209340.0,121291200.0,Sci-Fi Horror,1,0.0,['Douglas Wick'],R,113.0,2956.0,R,Fantasy_Scifi,,2000.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,244,2,532
